Ano/Trilha;Fase;Título da Fase;Código BNCC;Objetivo Pedagógico;Enunciado (Desafio do Aluno);Rótulos das Vagas (Chão);Caixas Disponíveis;Mensagem de Sucesso
2º Ano;5;Adição e Cálculo Mental;EF02MA05 - Fatos Básicos da Adição e Cálculo Mental;Desenvolve estratégias de cálculo mental com fatos fundamentais da adição.;Descubra quais duas caixas somadas alcançam exatamente a meta de 15 unidades e coloque-as nos espaços marcados.;"""Parte 1"" | ""Parte 2""";8, 7, 9;8 + 7 = 15! Meta atingida com cálculo mental!
2º Ano;6;Subtração e Completar;EF02MA06 - Subtração com Significado de Completar;Exercita o raciocínio subtrativo no sentido de quanto falta para completar uma quantia alvo.;Você já tem 6 pontos e precisa alcançar a meta de 14. Quantos pontos faltam para completar? Coloque a diferença no local marcado.;"""6 + ? = 14""";8, 6, 7;14 - 6 = 8. Faltavam 8 pontos para a meta!
2º Ano;7;Complementos para 100;EF02MA05 - Composição de Centenas e Complementos;Estimula a identificação de complementos de dezenas para o fechamento da centena (100).;Encontre o par de caixas que juntas somam exatamente uma centena inteira (100) e coloque-as nos espaços demarcados.;"""Junte aqui"" | ""Junte aqui""";60, 40, 30;60 + 40 = 100! Centena inteira completada!
2º Ano;8;Pares e Ímpares;EF02MA08 - Identificação de Números Pares e Ímpares;Desenvolve o conceito de paridade associando à formação de pares sem sobras.;Separe as caixas pela paridade: coloque o número PAR na Vaga PAR e o número ÍMPAR na Vaga ÍMPAR.;"""Vaga PAR"" | ""Vaga ÍMPAR""";4, 7, 9;4 é Par e 7 é Ímpar! Paridade classificada com sucesso!
2º Ano;9;Sequências com Regularidades (+5);EF02MA09 - Sequências Recursivas de Saltos (+5);Estimula o cálculo de padrões recursivos com adições sucessivas de 5 em 5.;Observe a sequência de saltos: 5, 10, 15, [ ? ]. Encontre o próximo número e coloque-o na vaga indicada.;"""Próximo (+5)""";20, 25, 18;5, 10, 15, 20: sequência de 5 em 5 completada!
2º Ano;10;Desafio Integrador;EF02MA01 / EF02MA06 - Resolução de Problemas Integrados;Aplica a leitura e resolução de problemas integrando estratégias de cálculo do 2º ano.;Na gincana escolar, a turma marcou 12 pontos pela manhã e 8 pontos à tarde. Coloque os dois valores nos espaços para totalizar a pontuação.;"""Manhã"" | ""Tarde""";12, 8, 15;12 + 8 = 20 pontos! Bateria do 2º Ano finalizada!
3º Ano;1;Adição e Decomposição;EF03MA05 - Procedimentos de Cálculo Mental e Adição;Estimula estratégias de cálculo mental por decomposição em dezenas e unidades.;Encontre duas caixas que, somadas por decomposição, atinjam exatamente a meta de 40 unidades e coloque-as nos espaços marcados.;"""Junte aqui"" | ""Junte aqui""";25, 15, 20;25 + 15 = 40! Estratégia de decomposição concluída!
3º Ano;2;Subtração Contextualizada;EF03MA06 - Problemas de Subtração Significativos;Aplica a subtração em contexto de controle de estoque sem imposição de terminologia técnica.;Um feirante tinha 50 caixas de frutas no estoque e vendeu 18 pela manhã. Quantas caixas restaram? Coloque o resultado no local indicado.;"""50 - 18 = ?""";32, 38, 28;50 - 18 = 32 caixas restantes no estoque!
3º Ano;3;Multiplicação (Parcelas Iguais);EF03MA07 / EF03MA08 - Multiplicação como Adição de Parcelas Iguais;Introduz a multiplicação como simplificação da adição sucessiva de parcelas iguais.;Você tem 3 grupos contendo 4 caixas cada um (4 + 4 + 4). Coloque os dois fatores nos espaços para calcular o produto total.;"""Grupos"" | ""Itens por grupo""";3, 4, 2;3 x 4 = 12! Parcelas iguais multiplicadas com sucesso!
3º Ano;4;Arranjo Retangular;EF03MA08 - Multiplicação em Disposição Retangular;Explora a visualização espacial da multiplicação por linhas e colunas em arranjos retangulares.;Uma horta possui 3 fileiras com 5 canteiros cada. Coloque as caixas correspondentes às linhas e colunas nos locais marcados para calcular o total.;"""Linhas"" | ""Colunas""";3, 5, 6;3 x 5 = 15 canteiros no arranjo retangular!
3º Ano;5;Fatos Básicos da Multiplicação;EF03MA07 - Fatos Básicos da Multiplicação (Tabuada);Consolida a memorização compreensiva dos fatos da multiplicação de 4 e 5.;Descubra qual par de fatores produz exatamente o valor 20 e coloque as duas caixas nos espaços indicados.;"""Fator 1"" | ""Fator 2""";4, 5, 3;4 x 5 = 20! Fatos básicos memorizados!
3º Ano;6;Divisão (Repartição Equitativa);EF03MA09 - Divisão como Repartição Equitativa;Desenvolve o raciocínio divisório de partilha em quantidades rigorosamente iguais.;18 figurinhas foram divididas igualmente entre 3 amigos. Quantas figurinhas cada amigo recebeu? Coloque a resposta na vaga indicada.;"""18 ÷ 3 = ?""";6, 9, 4;Cada amigo recebeu exatamente 6 figurinhas!
3º Ano;7;Divisão (Quantos Cabem);EF03MA09 - Divisão com Significado de Medida;Trabalha a divisão com a ideia de medição: descobrir quantas vezes um grupo cabe no todo.;Quantos grupos completos de 4 alunos podem ser formados em uma turma com 24 alunos? Coloque a resposta no local indicado.;"""24 ÷ 4 = ?""";6, 8, 5;Cabem exatamente 6 grupos de 4 alunos!
3º Ano;8;Metade e Terça Parte;EF03MA07 / EF03MA09 - Relação entre Divisão e Frações Iniciais;Conecta a operação de divisão aos conceitos iniciais de frações usuais (metade e terça parte).;Calcule a metade de 16 e a terça parte (1/3) de 15. Coloque as respostas correspondentes em cada espaço marcado.;"""Metade de 16"" | ""1/3 de 15""";8, 5, 4;Metade (8) e Terça Parte (5) ativadas com sucesso!
3º Ano;9;Sequências por Saltos (+4);EF03MA10 - Sequências Ordenadas por Adições Sucessivas;Identifica a lei de formação de sequências numéricas recursivas em progressão aritmética.;Identifique o padrão de saltos regulares 4, 8, 12... e complete a sequência colocando os dois próximos números nos locais marcados.;"""4º número (+4)"" | ""5º número (+4)""";16, 20, 14;Sequência 4, 8, 12, 16, 20 completada!
3º Ano;10;Desafio Integrador;EF03MA05 / EF03MA08 - Problema Prático com Multiplicação;Integra a resolução de problemas práticos que envolvem multiplicação de valores.;Uma papelaria vende estojos por 4 moedas cada. Uma escola comprou 6 estojos. Coloque os fatores nos espaços para calcular o custo total.;"""Estojos"" | ""Preço por estojo""";4, 6, 3;4 x 6 = 24 moedas! Bateria do 3º Ano concluída!
4º Ano;1;Operações com Centenas;EF04MA03 - Adição e Subtração com Números Maiores;Desenvolve procedimentos de cálculo mental com centenas em contextos do cotidiano.;Uma campanha arrecadou 150 kg de mantimentos no sábado e 250 kg no domingo. Coloque os valores nos locais indicados para calcular a soma total.;"""Sábado"" | ""Domingo""";150, 250, 200;150 + 250 = 400 kg arrecadados no fim de semana!
4º Ano;2;Multiplicação Contextualizada;EF04MA05 / EF04MA06 - Significados da Multiplicação;Aplica a multiplicação na resolução de problemas de transporte e proporcionalidade.;8 vans escolares transportam exatamente 6 estudantes cada uma. Coloque os fatores nos espaços para calcular o total de passageiros.;"""Vans"" | ""Alunos por van""";8, 6, 7;8 x 6 = 48 estudantes transportados com segurança!
4º Ano;3;Divisão e Resto;EF04MA07 - Divisão e Interpretação do Resto;Estimula a compreensão do significado do resto na divisão não exata de números naturais.;15 livros foram embalados em pacotes de 4 unidades cada. Quantos livros SOBRARAM no resto da divisão? Coloque a sobra na vaga indicada.;"""Resto de 15 ÷ 4""";3, 4, 2;15 ÷ 4 = 3 pacotes com resto 3! Resto identificado com sucesso!
4º Ano;4;Operações Inversas;EF04MA04 - Relações Inversas entre Multiplicação e Divisão;Desenvolve a flexibilidade de cálculo através das relações inversas entre multiplicar e dividir.;Sabendo que 7 x 6 = 42, use a operação inversa para determinar quanto é 42 ÷ 6 e coloque a resposta na vaga indicada.;"""42 ÷ 6 = ?""";7, 8, 6;Operação inversa: se 7 x 6 = 42, então 42 ÷ 6 = 7!
4º Ano;5;Cálculo Mental e Estimativa;EF04MA03 / EF04MA05 - Estimativas e Fatores;Estimula o cálculo mental na busca por fatores multiplicativos que resultem em uma centena exata.;Descubra qual par de caixas, quando multiplicadas, atinge exatamente a meta de 100 e coloque-as nos espaços demarcados.;"""Fator A"" | ""Fator B""";4, 25, 5;4 x 25 = 100! Meta atingida com estimativa e cálculo mental!
4º Ano;6;Frações Unitárias;EF04MA09 - Frações Unitárias como Unidades de Medida;Trabalha a ideia de fração unitária (1/4) aplicada a um conjunto discreto de objetos.;Uma torta inteira foi dividida em 8 fatias iguais. Quantas fatias correspondem a 1/4 da torta? Coloque a resposta na vaga indicada.;"""1/4 de 8 fatias""";2, 4, 3;1/4 de 8 fatias = 2 fatias! Fração unitária calculada!
4º Ano;7;Perímetro de Figuras;EF04MA20 - Medição e Cálculo de Perímetro;Desenvolve a noção geométrica de perímetro como medida do comprimento do contorno de uma figura.;Calcule o perímetro (medida do contorno) de um canteiro retangular de 4 metros por 3 metros. Coloque a medida total no espaço indicado.;"""Perímetro (4m x 3m)""";14, 12, 7;Perímetro calculado: 4 + 3 + 4 + 3 = 14 metros!
4º Ano;8;Área em Malha Quadriculada;EF04MA21 - Área por Contagem de Quadradinhos;Ensina a medição de superfície de figuras planas através do preenchimento e contagem de quadradinhos na malha.;Uma sala retangular ocupa 5 quadradinhos de largura por 3 quadradinhos de altura na malha. Calcule a área total e coloque o resultado na vaga marcada.;"""Área (5 x 3)""";15, 18, 8;Área total da sala: 15 unidades quadradas!
4º Ano;9;Leitura de Gráficos e Tabelas;EF04MA27 - Leitura e Interpretação de Dados Estatísticos;Desenvolve a interpretação e a comparação de grandezas expressas em gráficos de colunas.;O placar indica que o Time A marcou 18 pontos e o Time B marcou 12 pontos. Quantos pontos a mais fez o Time A? Coloque a diferença no local indicado.;"""Diferença de pontos""";6, 8, 4;Diferença lida no gráfico: 18 - 12 = 6 pontos!
4º Ano;10;Desafio Integrador;EF04MA06 / EF04MA20 - Geometria e Multiplicação Integradas;Integra conceitos de perímetro de polígonos regulares à operação multiplicativa.;Uma quadra esportiva quadrada tem 4 lados iguais medindo 6 metros cada. Coloque a quantidade de lados e a medida nos espaços para calcular o perímetro total.;"""Lados iguais"" | ""Metros por lado""";4, 6, 8;4 lados x 6m = 24m de perímetro! Bateria do 4º Ano finalizada!
5º Ano;1;Valor Posicional;EF05MA01 - Leitura, Escrita e Decomposição de Números Maiores;Desenvolve a compreensão do valor relativo dos algarismos em números naturais de várias ordens.;Componha o número 345 colocando a centena e a soma de dezenas com unidades nos espaços indicados.;"""Centenas"" | ""Dezenas e Unidades""";300, 45, 40;300 + 45 = 345! Número composto por valor posicional!
5º Ano;2;Frações de uma Quantidade;EF05MA03 - Fração como Parte do Todo e Resultado de Divisão;Exercita o cálculo de frações de quantidades discretas dividindo pelo denominador e multiplicando pelo numerador.;Uma caixa contém 20 bombons no total. Encontre a quantidade equivalente a 3/4 desse total e coloque a caixa na vaga indicada.;"""3/4 de 20 bombons""";15, 10, 5;3/4 de 20 bombons = 15 bombons! Fração de quantidade resolvida com sucesso!
5º Ano;3;Comparação de Frações;EF05MA03 - Comparação de Frações com Referenciais;Estimula a comparação de frações com denominadores distintos através de referenciais concretos.;Em uma barra dividida em 8 pedaços iguais, compare as frações 1/2 e 1/4. Descubra quantos pedaços possui a MAIOR dessas frações e coloque a resposta na vaga indicada.;"""Maior: 1/2 ou 1/4?""";4, 2, 1;1/2 (4 pedaços) é maior que 1/4 (2 pedaços)!
5º Ano;4;Frações Equivalentes;EF05MA04 - Identificação de Frações Equivalentes;Desenvolve a compreensão de que frações equivalentes representam a mesmíssima proporção do todo.;Uma barra de chocolate tem 12 pedaços. Encontre a quantidade de pedaços correspondente à fração equivalente a 2/4 (metade) e coloque a resposta na vaga indicada.;"""2/4 de 12 pedaços""";6, 4, 8;Frações equivalentes: 2/4 = 1/2 = 6 pedaços!
5º Ano;5;Decimais no Sistema Monetário;EF05MA02 / EF05MA07 - Decimais e Sistema Monetário;Aplica números racionais na representação decimal em compras e trocas monetárias.;Você comprou um lanche de R$ 2,50 e um suco de R$ 1,50. Coloque os valores em centavos de cada item nos espaços para totalizar a conta.;"""Lanche"" | ""Suco""";250, 150, 100;R$ 2,50 + R$ 1,50 = R$ 4,00 (400 centavos)!
5º Ano;6;Subtração de Decimais (Troco);EF05MA07 - Subtração com Números Decimais;Desenvolve a capacidade de calcular troco no sistema monetário por meio da subtração de decimais.;Você fez uma compra de R$ 6,50 e pagou com uma nota de R$ 10,00. Calcule o troco exato (em centavos) e coloque a resposta na vaga indicada.;"""Troco de R$ 10,00""";350, 450, 250;Troco correto: R$ 10,00 - R$ 6,50 = R$ 3,50 (350 centavos)!
5º Ano;7;Porcentagens Usuais;EF05MA06 - Associação de Porcentagens Usuais (50% = Metade);Associa porcentagens de referência (50%) à metade de uma grandeza.;Uma loja oferece 50% de desconto em um livro que custa R$ 60,00. Calcule o valor em reais do desconto e coloque a resposta no local marcado.;"""50% de R$ 60,00""";30, 15, 20;50% de R$ 60,00 = metade = R$ 30,00 de desconto!
5º Ano;8;Proporcionalidade Direta;EF05MA12 - Problemas de Proporcionalidade Direta;Exercita o pensamento proporcional direto entre duas grandezas correlacionadas.;Se 1 pacote contém 5 figurinhas, quantas figurinhas haverá em 6 pacotes? Coloque os valores nos espaços para calcular a proporção.;"""Pacotes"" | ""Figurinhas por pct""";6, 5, 4;6 pacotes x 5 figurinhas = 30 figurinhas no total!
5º Ano;9;Cálculo de Área Retangular;EF05MA20 - Medição de Área e Perímetro;Aplica a fórmula do produto das dimensões lineares para a determinação da área de retângulos.;Um pátio escolar mede 6 metros de comprimento por 2 metros de largura. Coloque as medidas das dimensões nos espaços marcados para calcular a área total.;"""Comprimento"" | ""Largura""";6, 2, 4;6m x 2m = 12 m² de área retangular!
5º Ano;10;Desafio Integrador;EF05MA07 / EF05MA15 - Síntese de Gráficos e Resolução de Problemas;Integra leitura de dados estatísticos com cálculo e resolução de problemas no término do EF I.;Uma pesquisa registrou 12 votos na segunda-feira e o dobro desse valor na terça-feira. Coloque as duas quantidades nos espaços indicados para totalizar os votos.;"""Segunda-feira"" | ""Terça-feira""";12, 24, 18;12 + 24 = 36 votos! Ensino Fundamental I concluído com excelência!
Desafios Extras;1;Algoritmos e Sequência de Passos;Pensamento Computacional - Decomposição e Algoritmos;Exercita o planejamento antecipado de ações para evitar bloqueios irreversíveis no cenário.;Planeje a sequência correta de empurrões para guiar a caixa pelo corredor estreito até a vaga final sem encurralá-la.;"""Vaga Final""";1;Algoritmo de passos executado com sucesso!
Desafios Extras;2;Padrões Recursivos;Pensamento Computacional - Reconhecimento de Padrões;Estimula a dedução indutiva de regularidades lógicas em sequências numéricas recursivas.;Descubra a regularidade da sequência lógica: 3, 6, 9, [ ? ]. Encontre o próximo número e coloque-o na vaga indicada.;"""Próximo (+3)""";12, 15, 10;Padrão recursivo 3, 6, 9, 12 completado!
Desafios Extras;3;Labirinto e Orientação Espacial;Pensamento Computacional - Raciocínio Lógico-Espacial;Desenvolve a capacidade de resolução de problemas de labirinto e manobra com restrição de espaço.;Navegue pelo labirinto e manobre as duas caixas pelas curvas até colocá-las em seus nichos de destino.;"""Nicho Norte"" | ""Nicho Sul""";1, 2;
Desafios Extras;4;Condicionais (Se... Então...);Pensamento Computacional - Estruturas Condicionais (IF/ELSE);Ensina a estrutura de controle condicional básica de decisão computacional (SE / SENÃO).;"Tomada de decisão: SE o valor for PAR, direcione para a vaga PAR; SE for ÍMPAR, direcione para a vaga ÍMPAR.";"""Se for PAR"" | ""Se for ÍMPAR""";4, 7;
Desafios Extras;5;Circuito Lógico AND;Pensamento Computacional - Lógica Booleana Combinatória (AND);Apresenta a conjunção lógica booleana onde a saída só é ativada se ambas as entradas forem verdadeiras.;Circuito E (AND): o portal só abre quando AMBAS as vagas de entrada estiverem ativadas com o número 1 ao mesmo tempo.;"""Entrada A"" | ""Entrada B""";1, 1, 0;Circuito AND: 1 E 1 = Porta energizada com sucesso!
Desafios Extras;6;Circuito Lógico OR;Pensamento Computacional - Lógica Booleana Disjuntiva (OR);Introduz a disjunção lógica booleana onde basta uma das entradas estar ativa para liberar a saída.;Circuito OU (OR): basta preencher pelo menos UMA das vagas de entrada com o número 1 para abrir a passagem.;"""Entrada A"" | ""Entrada B""";1, 0;Circuito OR: energia liberada por canal alternativo!
Desafios Extras;7;Classificação e Filtragem;Pensamento Computacional - Filtros e Classificação Lógica;Exercita a filtragem de dados que satisfaçam múltiplos predicados lógicos simultaneamente.;Filtro lógico: encontre entre as caixas aquela que cumpre ambas as condições simultaneamente: ser um número PAR e ser MAIOR QUE 10.;"""Par e > 10""";12, 9, 8;12 é PAR e MAIOR que 10! Filtro aprovado!
Desafios Extras;8;Depuração (Debugging);Pensamento Computacional - Autodepuração de Erros (Debugging);Desenvolve a competência de inspecionar estados, detectar incompatibilidades e depurar instruções com falhas.;A vaga requer um número PAR para destravar o caminho, mas uma caixa ímpar está na frente. Identifique a caixa par correta e coloque-a no local indicado.;"""Vaga Par""";6, 5, 7;Falha depurada! Caixa par (6) ativou a vaga com sucesso!
Desafios Extras;9;Circuitos Combinados;Pensamento Computacional - Circuitos Lógicos Integrados;Estimula a sincronização lógica de múltiplas variáveis em sistemas computacionais interdependentes.;Circuito combinado: conecte as duas caixas lógicas nas chaves de entrada para acionar a saída.;"""Chave 1"" | ""Chave 2""";1, 1, 2;Circuito integrado ativado com sinais combinados!
Desafios Extras;10;O Grande Desafio Lógico;Pensamento Computacional - Otimização e Síntese de Algoritmos;Sintetiza todos os eixos do pensamento computacional: planejamento ordenado, lógica de alvos e menor custo de passos.;Desafio Mestre: organize as caixas nos alvos na ordem crescente das estações (1ª -> 2ª -> 3ª) sem obstruir corredores.;"""Estação 1"" | ""Estação 2"" | ""Estação 3""";3, 1, 2;Parabéns! Desafio Mestre de Lógica Computacional superado!
